05-31-2024 15:14:12 RAM 2638/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [0%@960,0%@960,0%@960,93%@960,off,off] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.75C SOC0@51.843C CV1@-256C GPU@52.031C tj@53.125C SOC1@52.562C CV2@-256C VDD_IN 3772mW/4469mW VDD_CPU_GPU_CV 401mW/943mW VDD_SOC 1123mW/1203mW
05-31-2024 15:14:13 RAM 2641/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [1%@960,0%@960,0%@960,93%@960,off,off] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.781C SOC0@51.656C CV1@-256C GPU@51.875C tj@53.406C SOC1@52.531C CV2@-256C VDD_IN 3772mW/4419mW VDD_CPU_GPU_CV 441mW/907mW VDD_SOC 1123mW/1197mW
05-31-2024 15:14:14 RAM 2643/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [0%@960,0%@960,33%@960,59%@960,off,off] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.218C SOC2@51.593C SOC0@51.656C CV1@-256C GPU@52C tj@53.218C SOC1@52.375C CV2@-256C VDD_IN 3772mW/4376mW VDD_CPU_GPU_CV 401mW/873mW VDD_SOC 1123mW/1192mW
05-31-2024 15:14:15 RAM 2656/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [2%@960,0%@960,0%@960,80%@960,off,off] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.562C SOC0@51.625C CV1@-256C GPU@51.937C tj@53.125C SOC1@52.531C CV2@-256C VDD_IN 3932mW/4348mW VDD_CPU_GPU_CV 521mW/851mW VDD_SOC 1163mW/1190mW
05-31-2024 15:14:16 RAM 2662/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [19%@729,16%@729,2%@729,20%@729,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.968C SOC2@51.562C SOC0@51.75C CV1@-256C GPU@52.093C tj@53.125C SOC1@52.437C CV2@-256C VDD_IN 3737mW/4312mW VDD_CPU_GPU_CV 441mW/827mW VDD_SOC 1125mW/1186mW
05-31-2024 15:14:17 RAM 2701/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [5%@960,20%@960,3%@960,2%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 20%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.937C SOC2@51.531C SOC0@51.593C CV1@-256C GPU@52.125C tj@53.062C SOC1@52.375C CV2@-256C VDD_IN 3772mW/4282mW VDD_CPU_GPU_CV 481mW/808mW VDD_SOC 1123mW/1183mW
05-31-2024 15:14:18 RAM 2720/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [15%@960,25%@960,12%@960,23%@960,off,off] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.875C SOC2@51.5C SOC0@51.593C CV1@-256C GPU@52.031C tj@52.843C SOC1@52.218C CV2@-256C VDD_IN 3858mW/4260mW VDD_CPU_GPU_CV 522mW/793mW VDD_SOC 1165mW/1182mW
05-31-2024 15:14:19 RAM 2754/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [18%@960,62%@960,7%@960,10%@960,off,off] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.937C SOC2@51.437C SOC0@51.5C CV1@-256C GPU@52C tj@52.937C SOC1@52.312C CV2@-256C VDD_IN 4300mW/4262mW VDD_CPU_GPU_CV 722mW/789mW VDD_SOC 1245mW/1185mW
05-31-2024 15:14:20 RAM 3046/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [19%@960,7%@960,84%@960,4%@960,off,off] EMC_FREQ 3%@2133 GR3D_FREQ 19%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.093C SOC2@51.562C SOC0@51.562C CV1@-256C GPU@52.062C tj@53.093C SOC1@52.218C CV2@-256C VDD_IN 4735mW/4284mW VDD_CPU_GPU_CV 802mW/790mW VDD_SOC 1444mW/1197mW
05-31-2024 15:14:22 RAM 3393/7451MB (lfb 310x4MB) SWAP 22/3725MB (cached 0MB) CPU [12%@960,18%@960,19%@960,78%@960,off,off] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.968C SOC2@51.593C SOC0@51.468C CV1@-256C GPU@52.031C tj@52.968C SOC1@52.187C CV2@-256C VDD_IN 4654mW/4301mW VDD_CPU_GPU_CV 682mW/785mW VDD_SOC 1444mW/1208mW
