05-31-2024 15:34:43 RAM 3744/7451MB (lfb 191x4MB) SWAP 68/3725MB (cached 0MB) CPU [15%@729,10%@729,30%@729,51%@729,off,off] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.937C SOC2@51.406C SOC0@51.468C CV1@-256C GPU@51.906C tj@52.937C SOC1@52.187C CV2@-256C VDD_IN 4654mW/4741mW VDD_CPU_GPU_CV 642mW/1122mW VDD_SOC 1444mW/1296mW
05-31-2024 15:34:44 RAM 3829/7451MB (lfb 162x4MB) SWAP 68/3725MB (cached 0MB) CPU [15%@729,11%@729,8%@729,10%@729,off,off] EMC_FREQ 10%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.781C SOC2@51.312C SOC0@51.468C CV1@-256C GPU@51.687C tj@52.781C SOC1@52.125C CV2@-256C VDD_IN 4260mW/4707mW VDD_CPU_GPU_CV 481mW/1076mW VDD_SOC 1205mW/1289mW
05-31-2024 15:34:45 RAM 4274/7451MB (lfb 119x4MB) SWAP 68/3725MB (cached 0MB) CPU [17%@960,13%@960,21%@960,75%@960,off,off] EMC_FREQ 13%@665 GR3D_FREQ 36%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.093C SOC2@51.375C SOC0@51.281C CV1@-256C GPU@51.968C tj@52.906C SOC1@52.093C CV2@-256C VDD_IN 4260mW/4677mW VDD_CPU_GPU_CV 682mW/1050mW VDD_SOC 1205mW/1284mW
05-31-2024 15:34:46 RAM 4725/7451MB (lfb 98x4MB) SWAP 68/3725MB (cached 0MB) CPU [17%@960,17%@960,32%@960,64%@960,off,off] EMC_FREQ 14%@665 GR3D_FREQ 26%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.812C SOC2@51.343C SOC0@51.187C CV1@-256C GPU@51.593C tj@52.812C SOC1@52.031C CV2@-256C VDD_IN 4260mW/4651mW VDD_CPU_GPU_CV 722mW/1029mW VDD_SOC 1205mW/1279mW
05-31-2024 15:34:47 RAM 5038/7451MB (lfb 62x4MB) SWAP 68/3725MB (cached 0MB) CPU [14%@960,35%@960,30%@960,42%@960,off,off] EMC_FREQ 13%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.718C SOC2@51.312C SOC0@51.281C CV1@-256C GPU@51.406C tj@52.718C SOC1@52.031C CV2@-256C VDD_IN 4139mW/4621mW VDD_CPU_GPU_CV 642mW/1007mW VDD_SOC 1205mW/1274mW
05-31-2024 15:34:48 RAM 5036/7451MB (lfb 60x4MB) SWAP 68/3725MB (cached 0MB) CPU [17%@960,8%@960,16%@960,70%@960,off,off] EMC_FREQ 10%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.781C SOC2@51.218C SOC0@51.187C CV1@-256C GPU@51.468C tj@52.781C SOC1@51.968C CV2@-256C VDD_IN 3979mW/4585mW VDD_CPU_GPU_CV 521mW/980mW VDD_SOC 1165mW/1268mW
05-31-2024 15:34:49 RAM 5252/7451MB (lfb 12x4MB) SWAP 68/3725MB (cached 0MB) CPU [23%@960,31%@960,19%@960,30%@960,off,off] EMC_FREQ 11%@665 GR3D_FREQ 65%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.25C SOC0@51.187C CV1@-256C GPU@51.656C tj@53.031C SOC1@51.875C CV2@-256C VDD_IN 4139mW/4562mW VDD_CPU_GPU_CV 682mW/964mW VDD_SOC 1205mW/1265mW
05-31-2024 15:34:50 RAM 5472/7451MB (lfb 29x1MB) SWAP 89/3725MB (cached 0MB) CPU [14%@960,17%@960,53%@960,31%@960,off,off] EMC_FREQ 12%@665 GR3D_FREQ 45%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.906C SOC2@51.25C SOC0@51.187C CV1@-256C GPU@51.531C tj@52.906C SOC1@51.937C CV2@-256C VDD_IN 4260mW/4547mW VDD_CPU_GPU_CV 762mW/954mW VDD_SOC 1205mW/1262mW
05-31-2024 15:34:51 RAM 5521/7451MB (lfb 20x1MB) SWAP 89/3725MB (cached 0MB) CPU [17%@960,53%@960,9%@960,20%@960,off,off] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.062C SOC2@51.312C SOC0@51.156C CV1@-256C GPU@51.687C tj@53.062C SOC1@51.968C CV2@-256C VDD_IN 5096mW/4573mW VDD_CPU_GPU_CV 1001mW/956mW VDD_SOC 1484mW/1272mW
05-31-2024 15:34:52 RAM 5556/7451MB (lfb 3x2MB) SWAP 122/3725MB (cached 0MB) CPU [38%@960,22%@960,51%@960,17%@960,off,off] EMC_FREQ 7%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.968C SOC2@51.343C SOC0@51.187C CV1@-256C GPU@51.718C tj@52.968C SOC1@51.875C CV2@-256C VDD_IN 5649mW/4622mW VDD_CPU_GPU_CV 1322mW/973mW VDD_SOC 1602mW/1287mW
