05-31-2024 13:08:54 RAM 4203/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [27%@883,15%@883,22%@883,29%@1014,14%@729,14%@729] EMC_FREQ 24%@2133 GR3D_FREQ 55%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.281C SOC2@56.156C SOC0@55.812C CV1@-256C GPU@57.031C tj@57.281C SOC1@56.156C CV2@-256C VDD_IN 7747mW/7384mW VDD_CPU_GPU_CV 2591mW/3060mW VDD_SOC 1916mW/1565mW
05-31-2024 13:08:55 RAM 4203/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [25%@1267,18%@1293,26%@1267,21%@1267,7%@729,10%@729] EMC_FREQ 25%@2133 GR3D_FREQ 44%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.281C SOC2@56.281C SOC0@55.812C CV1@-256C GPU@57.156C tj@57.281C SOC1@56.062C CV2@-256C VDD_IN 7747mW/7412mW VDD_CPU_GPU_CV 2631mW/3027mW VDD_SOC 1876mW/1589mW
05-31-2024 13:08:56 RAM 4203/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [25%@1036,22%@1036,21%@960,21%@1113,9%@729,10%@729] EMC_FREQ 26%@2133 GR3D_FREQ 97%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.218C SOC2@56.125C SOC0@55.812C CV1@-256C GPU@56.937C tj@57.218C SOC1@56.031C CV2@-256C VDD_IN 7707mW/7433mW VDD_CPU_GPU_CV 2551mW/2993mW VDD_SOC 1876mW/1609mW
05-31-2024 13:08:57 RAM 4203/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [29%@1344,19%@1344,27%@1344,25%@1267,14%@729,11%@729] EMC_FREQ 25%@2133 GR3D_FREQ 8%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.187C SOC2@56.062C SOC0@55.968C CV1@-256C GPU@57.125C tj@57.187C SOC1@56.062C CV2@-256C VDD_IN 7627mW/7446mW VDD_CPU_GPU_CV 2511mW/2961mW VDD_SOC 1876mW/1627mW
05-31-2024 13:08:58 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [31%@1267,22%@1267,19%@1267,27%@1267,16%@729,22%@729] EMC_FREQ 25%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.187C SOC2@56.156C SOC0@55.875C CV1@-256C GPU@57.093C tj@57.187C SOC1@56C CV2@-256C VDD_IN 7747mW/7465mW VDD_CPU_GPU_CV 2631mW/2940mW VDD_SOC 1876mW/1642mW
05-31-2024 13:08:59 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [29%@1510,20%@1344,26%@1420,21%@1420,8%@729,8%@729] EMC_FREQ 26%@2133 GR3D_FREQ 68%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.25C SOC2@56.187C SOC0@55.843C CV1@-256C GPU@56.937C tj@57.25C SOC1@55.968C CV2@-256C VDD_IN 7587mW/7472mW VDD_CPU_GPU_CV 2472mW/2913mW VDD_SOC 1876mW/1656mW
05-31-2024 13:09:00 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [27%@1510,25%@1374,23%@1310,26%@1036,8%@729,5%@729] EMC_FREQ 26%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.031C SOC2@56.062C SOC0@55.875C CV1@-256C GPU@57.281C tj@57.281C SOC1@55.906C CV2@-256C VDD_IN 7707mW/7485mW VDD_CPU_GPU_CV 2591mW/2895mW VDD_SOC 1916mW/1671mW
05-31-2024 13:09:01 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [28%@1510,17%@1510,22%@1510,25%@1510,10%@729,16%@729] EMC_FREQ 26%@2133 GR3D_FREQ 46%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.343C SOC2@56.25C SOC0@55.812C CV1@-256C GPU@57.218C tj@57.343C SOC1@55.937C CV2@-256C VDD_IN 7747mW/7499mW VDD_CPU_GPU_CV 2591mW/2879mW VDD_SOC 1876mW/1681mW
05-31-2024 13:09:02 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [27%@1190,26%@1113,19%@1113,26%@1113,9%@729,12%@729] EMC_FREQ 26%@2133 GR3D_FREQ 74%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.968C SOC2@56.187C SOC0@55.812C CV1@-256C GPU@57.031C tj@57.031C SOC1@55.968C CV2@-256C VDD_IN 7787mW/7513mW VDD_CPU_GPU_CV 2671mW/2868mW VDD_SOC 1916mW/1693mW
05-31-2024 13:09:03 RAM 4204/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [28%@1244,21%@1190,24%@1190,26%@1190,20%@729,11%@729] EMC_FREQ 26%@2133 GR3D_FREQ 61%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.375C SOC2@56.125C SOC0@55.718C CV1@-256C GPU@57.187C tj@57.375C SOC1@56C CV2@-256C VDD_IN 7627mW/7519mW VDD_CPU_GPU_CV 2511mW/2851mW VDD_SOC 1876mW/1702mW
