05-31-2024 13:29:13 RAM 2253/7451MB (lfb 17x4MB) SWAP 608/3725MB (cached 4MB) CPU [96%@1510,74%@1510,94%@1510,98%@1510,90%@1510,97%@1510] EMC_FREQ 14%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.937C SOC2@55.437C SOC0@54.843C CV1@-256C GPU@55.625C tj@56.937C SOC1@55.312C CV2@-256C VDD_IN 7080mW/7080mW VDD_CPU_GPU_CV 3070mW/3070mW VDD_SOC 1440mW/1440mW
05-31-2024 13:29:14 RAM 2291/7451MB (lfb 17x4MB) SWAP 608/3725MB (cached 4MB) CPU [100%@1510,17%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.906C SOC2@55.437C SOC0@54.937C CV1@-256C GPU@55.656C tj@56.906C SOC1@55.218C CV2@-256C VDD_IN 6960mW/7020mW VDD_CPU_GPU_CV 3154mW/3112mW VDD_SOC 1360mW/1400mW
05-31-2024 13:29:15 RAM 2378/7451MB (lfb 17x4MB) SWAP 608/3725MB (cached 4MB) CPU [100%@1510,69%@1510,67%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.156C SOC2@55.593C SOC0@54.875C CV1@-256C GPU@55.906C tj@57.156C SOC1@55.156C CV2@-256C VDD_IN 7120mW/7053mW VDD_CPU_GPU_CV 3274mW/3166mW VDD_SOC 1400mW/1400mW
05-31-2024 13:29:16 RAM 2456/7451MB (lfb 17x4MB) SWAP 608/3725MB (cached 4MB) CPU [100%@1510,100%@1510,99%@1510,39%@1510,100%@1510,99%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[509,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.406C SOC2@55.562C SOC0@54.781C CV1@-256C GPU@55.781C tj@57.406C SOC1@55.187C CV2@-256C VDD_IN 7200mW/7090mW VDD_CPU_GPU_CV 3115mW/3153mW VDD_SOC 1400mW/1400mW
05-31-2024 13:29:17 RAM 2849/7451MB (lfb 2x4MB) SWAP 608/3725MB (cached 4MB) CPU [98%@1510,100%@1510,100%@1510,72%@1510,100%@1510,100%@1510] EMC_FREQ 4%@2133 GR3D_FREQ 36%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.343C SOC2@55.437C SOC0@54.781C CV1@-256C GPU@55.687C tj@57.343C SOC1@55.218C CV2@-256C VDD_IN 7320mW/7136mW VDD_CPU_GPU_CV 3269mW/3176mW VDD_SOC 1440mW/1408mW
05-31-2024 13:29:18 RAM 3479/7451MB (lfb 102x1MB) SWAP 608/3725MB (cached 4MB) CPU [100%@1510,100%@1510,100%@1510,87%@1510,99%@1510,100%@1510] EMC_FREQ 4%@2133 GR3D_FREQ 16%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.562C SOC2@55.562C SOC0@54.843C CV1@-256C GPU@55.718C tj@57.562C SOC1@55.156C CV2@-256C VDD_IN 7400mW/7180mW VDD_CPU_GPU_CV 3309mW/3198mW VDD_SOC 1440mW/1413mW
05-31-2024 13:29:19 RAM 3842/7451MB (lfb 90x1MB) SWAP 608/3725MB (cached 4MB) CPU [100%@1510,100%@1510,100%@1510,67%@1510,100%@1510,100%@1510] EMC_FREQ 5%@2133 GR3D_FREQ 21%@[509,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.281C SOC2@55.562C SOC0@54.812C CV1@-256C GPU@55.656C tj@57.281C SOC1@55.218C CV2@-256C VDD_IN 7440mW/7217mW VDD_CPU_GPU_CV 3349mW/3220mW VDD_SOC 1440mW/1417mW
05-31-2024 13:29:20 RAM 4194/7451MB (lfb 90x1MB) SWAP 608/3725MB (cached 4MB) CPU [100%@1510,100%@1510,100%@1510,31%@1510,94%@1510,100%@1510] EMC_FREQ 4%@2133 GR3D_FREQ 40%@[509,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.281C SOC2@55.562C SOC0@54.781C CV1@-256C GPU@55.625C tj@57.281C SOC1@55.156C CV2@-256C VDD_IN 7320mW/7230mW VDD_CPU_GPU_CV 3309mW/3231mW VDD_SOC 1440mW/1420mW
05-31-2024 13:29:21 RAM 4279/7451MB (lfb 90x1MB) SWAP 608/3725MB (cached 4MB) CPU [51%@1510,55%@1396,45%@1190,28%@1190,45%@729,46%@729] EMC_FREQ 15%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.531C SOC2@55.218C SOC0@54.906C CV1@-256C GPU@56.281C tj@56.531C SOC1@55.125C CV2@-256C VDD_IN 7947mW/7309mW VDD_CPU_GPU_CV 2990mW/3204mW VDD_SOC 1837mW/1466mW
05-31-2024 13:29:22 RAM 4280/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [36%@1497,19%@1497,13%@1497,14%@1497,17%@729,16%@729] EMC_FREQ 21%@2133 GR3D_FREQ 37%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.437C SOC2@55.25C SOC0@54.843C CV1@-256C GPU@56.375C tj@56.437C SOC1@55.25C CV2@-256C VDD_IN 7867mW/7365mW VDD_CPU_GPU_CV 2751mW/3159mW VDD_SOC 1876mW/1507mW
05-31-2024 13:29:23 RAM 4280/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [29%@1113,23%@1113,16%@1420,28%@1420,21%@729,12%@729] EMC_FREQ 24%@2133 GR3D_FREQ 86%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.312C SOC2@55.218C SOC0@55.031C CV1@-256C GPU@56.093C tj@56.312C SOC1@55.156C CV2@-256C VDD_IN 7947mW/7418mW VDD_CPU_GPU_CV 2791mW/3125mW VDD_SOC 1916mW/1544mW
05-31-2024 13:29:24 RAM 4280/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [30%@883,28%@883,19%@883,16%@883,9%@729,11%@729] EMC_FREQ 25%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.343C SOC2@55.25C SOC0@55.031C CV1@-256C GPU@56.156C tj@56.343C SOC1@55.187C CV2@-256C VDD_IN 7867mW/7455mW VDD_CPU_GPU_CV 2671mW/3087mW VDD_SOC 1916mW/1575mW
05-31-2024 13:29:25 RAM 4280/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [23%@1190,19%@1235,37%@1190,18%@1190,14%@729,13%@729] EMC_FREQ 26%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.312C SOC2@55.281C SOC0@55C CV1@-256C GPU@56.437C tj@56.437C SOC1@55.125C CV2@-256C VDD_IN 7747mW/7478mW VDD_CPU_GPU_CV 2591mW/3049mW VDD_SOC 1916mW/1601mW
05-31-2024 13:29:26 RAM 4280/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [34%@1267,15%@1267,26%@1267,21%@1267,15%@729,22%@729] EMC_FREQ 26%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.406C SOC2@55.218C SOC0@55.062C CV1@-256C GPU@56.187C tj@56.406C SOC1@55.125C CV2@-256C VDD_IN 7947mW/7511mW VDD_CPU_GPU_CV 2751mW/3028mW VDD_SOC 1916mW/1624mW
05-31-2024 13:29:27 RAM 4280/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [23%@1322,29%@960,24%@960,18%@960,11%@729,14%@729] EMC_FREQ 26%@2133 GR3D_FREQ 96%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.25C SOC2@55.218C SOC0@55.031C CV1@-256C GPU@56.406C tj@56.406C SOC1@55.156C CV2@-256C VDD_IN 7827mW/7532mW VDD_CPU_GPU_CV 2671mW/3004mW VDD_SOC 1916mW/1643mW
05-31-2024 13:29:28 RAM 4282/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [28%@1127,16%@806,24%@806,23%@806,15%@729,14%@729] EMC_FREQ 26%@2133 GR3D_FREQ 71%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.312C SOC2@55.25C SOC0@54.968C CV1@-256C GPU@56.218C tj@56.312C SOC1@55.125C CV2@-256C VDD_IN 7907mW/7556mW VDD_CPU_GPU_CV 2711mW/2986mW VDD_SOC 1916mW/1660mW
05-31-2024 13:29:29 RAM 4282/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [24%@960,18%@960,18%@960,33%@960,12%@729,22%@729] EMC_FREQ 26%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.312C SOC2@55.156C SOC0@54.937C CV1@-256C GPU@56.437C tj@56.437C SOC1@55.156C CV2@-256C VDD_IN 7827mW/7571mW VDD_CPU_GPU_CV 2671mW/2967mW VDD_SOC 1916mW/1675mW
05-31-2024 13:29:30 RAM 4282/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [29%@1510,17%@1190,24%@1190,27%@1190,9%@729,7%@729] EMC_FREQ 26%@2133 GR3D_FREQ 96%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.343C SOC2@55.187C SOC0@55.031C CV1@-256C GPU@56.312C tj@56.343C SOC1@55.125C CV2@-256C VDD_IN 7867mW/7588mW VDD_CPU_GPU_CV 2711mW/2953mW VDD_SOC 1916mW/1688mW
05-31-2024 13:29:31 RAM 4282/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [31%@883,23%@883,29%@883,15%@960,10%@729,21%@729] EMC_FREQ 26%@2133 GR3D_FREQ 87%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.312C SOC2@55.281C SOC0@54.906C CV1@-256C GPU@56.312C tj@56.468C SOC1@55.093C CV2@-256C VDD_IN 7947mW/7607mW VDD_CPU_GPU_CV 2751mW/2942mW VDD_SOC 1916mW/1700mW
05-31-2024 13:29:33 RAM 4282/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [25%@883,25%@883,23%@883,28%@883,9%@729,9%@729] EMC_FREQ 26%@2133 GR3D_FREQ 70%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.281C SOC2@55.343C SOC0@54.937C CV1@-256C GPU@56.406C tj@56.406C SOC1@55.125C CV2@-256C VDD_IN 7907mW/7622mW VDD_CPU_GPU_CV 2671mW/2929mW VDD_SOC 1916mW/1711mW
05-31-2024 13:29:34 RAM 4282/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [29%@1510,17%@883,13%@883,29%@883,16%@729,14%@729] EMC_FREQ 26%@2133 GR3D_FREQ 70%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.5C SOC2@55.281C SOC0@54.937C CV1@-256C GPU@56.187C tj@56.5C SOC1@55.187C CV2@-256C VDD_IN 7867mW/7633mW VDD_CPU_GPU_CV 2711mW/2918mW VDD_SOC 1916mW/1721mW
05-31-2024 13:29:35 RAM 4282/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [26%@1113,24%@1113,21%@1113,24%@1036,13%@729,23%@729] EMC_FREQ 26%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.312C SOC2@55.312C SOC0@54.937C CV1@-256C GPU@56.375C tj@56.375C SOC1@55.125C CV2@-256C VDD_IN 7867mW/7644mW VDD_CPU_GPU_CV 2711mW/2909mW VDD_SOC 1916mW/1730mW
05-31-2024 13:29:36 RAM 4282/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [25%@1510,19%@960,39%@960,18%@960,8%@729,10%@729] EMC_FREQ 26%@2133 GR3D_FREQ 76%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.468C SOC2@55.406C SOC0@54.906C CV1@-256C GPU@56.156C tj@56.468C SOC1@55.062C CV2@-256C VDD_IN 7907mW/7655mW VDD_CPU_GPU_CV 2711mW/2900mW VDD_SOC 1916mW/1738mW
05-31-2024 13:29:37 RAM 4282/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [29%@1267,18%@1267,31%@1267,17%@1267,10%@729,10%@729] EMC_FREQ 27%@2133 GR3D_FREQ 76%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.406C SOC2@55.25C SOC0@54.937C CV1@-256C GPU@56.187C tj@56.406C SOC1@55.062C CV2@-256C VDD_IN 7827mW/7663mW VDD_CPU_GPU_CV 2671mW/2891mW VDD_SOC 1916mW/1745mW
05-31-2024 13:29:38 RAM 4282/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [45%@1497,11%@1497,12%@1497,17%@1497,15%@729,14%@729] EMC_FREQ 26%@2133 GR3D_FREQ 14%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.531C SOC2@55.437C SOC0@54.968C CV1@-256C GPU@56.343C tj@56.531C SOC1@55.093C CV2@-256C VDD_IN 7987mW/7675mW VDD_CPU_GPU_CV 2791mW/2887mW VDD_SOC 1916mW/1752mW
