05-28-2024 14:08:52 RAM 4411/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [31%@960,43%@729,30%@729,36%@729,off,off] EMC_FREQ 7%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53C SOC2@51.687C SOC0@51.468C CV1@-256C GPU@52.031C tj@53.093C SOC1@52.187C CV2@-256C VDD_IN 5377mW/4630mW VDD_CPU_GPU_CV 1121mW/1082mW VDD_SOC 1605mW/1243mW
05-28-2024 14:08:53 RAM 4402/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [41%@729,28%@729,27%@729,31%@729,off,off] EMC_FREQ 12%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.687C SOC0@51.593C CV1@-256C GPU@52.343C tj@53.125C SOC1@52.312C CV2@-256C VDD_IN 6209mW/4742mW VDD_CPU_GPU_CV 1520mW/1113mW VDD_SOC 1762mW/1280mW
05-28-2024 14:08:54 RAM 4402/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [38%@729,30%@729,31%@729,21%@729,off,off] EMC_FREQ 14%@2133 GR3D_FREQ 15%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.687C SOC0@51.656C CV1@-256C GPU@52.187C tj@53.125C SOC1@52.25C CV2@-256C VDD_IN 6249mW/4843mW VDD_CPU_GPU_CV 1520mW/1140mW VDD_SOC 1762mW/1312mW
05-28-2024 14:08:55 RAM 4402/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [47%@960,32%@729,29%@729,28%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 81%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@51.75C SOC0@51.687C CV1@-256C GPU@52.25C tj@53.343C SOC1@52.218C CV2@-256C VDD_IN 6290mW/4933mW VDD_CPU_GPU_CV 1560mW/1166mW VDD_SOC 1762mW/1340mW
05-28-2024 14:08:56 RAM 4402/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [40%@854,33%@729,26%@729,36%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.25C SOC2@51.687C SOC0@51.687C CV1@-256C GPU@52.437C tj@53.25C SOC1@52.25C CV2@-256C VDD_IN 6290mW/5013mW VDD_CPU_GPU_CV 1560mW/1189mW VDD_SOC 1762mW/1365mW
05-28-2024 14:08:57 RAM 4402/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [37%@806,32%@806,25%@806,29%@806,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.25C SOC2@51.781C SOC0@51.656C CV1@-256C GPU@52.437C tj@53.25C SOC1@52.218C CV2@-256C VDD_IN 6290mW/5084mW VDD_CPU_GPU_CV 1560mW/1210mW VDD_SOC 1762mW/1387mW
05-28-2024 14:08:58 RAM 4402/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [40%@960,26%@960,30%@960,31%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 53%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.187C SOC2@51.781C SOC0@51.656C CV1@-256C GPU@52.218C tj@53.187C SOC1@52.312C CV2@-256C VDD_IN 6249mW/5145mW VDD_CPU_GPU_CV 1520mW/1226mW VDD_SOC 1762mW/1407mW
05-28-2024 14:08:59 RAM 4402/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [38%@883,24%@883,26%@960,28%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 64%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.062C SOC2@51.812C SOC0@51.625C CV1@-256C GPU@52.25C tj@53.062C SOC1@52.343C CV2@-256C VDD_IN 6330mW/5204mW VDD_CPU_GPU_CV 1560mW/1243mW VDD_SOC 1762mW/1424mW
05-28-2024 14:09:00 RAM 4403/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [35%@729,29%@729,28%@729,29%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.843C SOC0@51.687C CV1@-256C GPU@52.281C tj@53.406C SOC1@52.25C CV2@-256C VDD_IN 6290mW/5256mW VDD_CPU_GPU_CV 1560mW/1258mW VDD_SOC 1762mW/1440mW
05-28-2024 14:09:01 RAM 4403/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [42%@883,38%@883,31%@883,35%@883,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.187C SOC2@51.75C SOC0@51.75C CV1@-256C GPU@52.375C tj@53.187C SOC1@52.343C CV2@-256C VDD_IN 6330mW/5305mW VDD_CPU_GPU_CV 1560mW/1272mW VDD_SOC 1762mW/1455mW
05-28-2024 14:09:02 RAM 4403/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [44%@883,31%@883,26%@883,24%@883,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@51.875C SOC0@51.75C CV1@-256C GPU@52.718C tj@53.343C SOC1@52.312C CV2@-256C VDD_IN 6249mW/5346mW VDD_CPU_GPU_CV 1560mW/1284mW VDD_SOC 1762mW/1468mW
05-28-2024 14:09:03 RAM 4403/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [36%@918,29%@729,32%@729,26%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 96%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.781C SOC0@51.781C CV1@-256C GPU@52.593C tj@53.406C SOC1@52.25C CV2@-256C VDD_IN 6290mW/5385mW VDD_CPU_GPU_CV 1560mW/1296mW VDD_SOC 1762mW/1481mW
