01-01-1970 01:55:42 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [33%@1199,15%@1508,16%@806,16%@806,20%@729,6%@729] EMC_FREQ 26%@2133 GR3D_FREQ 20%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.187C SOC2@54.031C SOC0@53.437C CV1@-256C GPU@54.906C tj@55.187C SOC1@53.968C CV2@-256C VDD_IN 8027mW/8226mW VDD_CPU_GPU_CV 2950mW/3048mW VDD_SOC 1876mW/1912mW
01-01-1970 01:55:43 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [25%@883,15%@1167,16%@1168,14%@806,5%@729,9%@729] EMC_FREQ 26%@2133 GR3D_FREQ 95%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.062C SOC2@54.125C SOC0@53.593C CV1@-256C GPU@54.781C tj@55.062C SOC1@53.937C CV2@-256C VDD_IN 8067mW/8214mW VDD_CPU_GPU_CV 2950mW/3041mW VDD_SOC 1916mW/1913mW
01-01-1970 01:55:44 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [30%@967,18%@806,17%@806,13%@806,8%@729,10%@729] EMC_FREQ 26%@2133 GR3D_FREQ 38%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55C SOC2@54C SOC0@53.625C CV1@-256C GPU@55.062C tj@55.062C SOC1@53.906C CV2@-256C VDD_IN 8067mW/8204mW VDD_CPU_GPU_CV 2950mW/3035mW VDD_SOC 1916mW/1913mW
01-01-1970 01:55:45 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [31%@729,14%@729,13%@1073,16%@1013,9%@729,5%@729] EMC_FREQ 26%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55C SOC2@54C SOC0@53.562C CV1@-256C GPU@55.187C tj@55.187C SOC1@53.812C CV2@-256C VDD_IN 8146mW/8201mW VDD_CPU_GPU_CV 3030mW/3035mW VDD_SOC 1916mW/1913mW
01-01-1970 01:55:46 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [19%@729,15%@729,14%@729,12%@1510,10%@729,12%@729] EMC_FREQ 27%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.937C SOC2@53.968C SOC0@53.562C CV1@-256C GPU@55.312C tj@55.312C SOC1@53.781C CV2@-256C VDD_IN 8186mW/8200mW VDD_CPU_GPU_CV 3030mW/3034mW VDD_SOC 1916mW/1913mW
01-01-1970 01:55:47 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [27%@806,16%@806,14%@806,16%@1318,12%@729,21%@729] EMC_FREQ 26%@2133 GR3D_FREQ 23%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.906C SOC2@53.937C SOC0@53.468C CV1@-256C GPU@54.781C tj@54.906C SOC1@53.781C CV2@-256C VDD_IN 8107mW/8195mW VDD_CPU_GPU_CV 2950mW/3030mW VDD_SOC 1876mW/1911mW
01-01-1970 01:55:48 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [25%@729,16%@729,15%@729,19%@729,7%@729,8%@729] EMC_FREQ 26%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.218C SOC2@54.062C SOC0@53.531C CV1@-256C GPU@55.093C tj@55.218C SOC1@53.781C CV2@-256C VDD_IN 8067mW/8188mW VDD_CPU_GPU_CV 2950mW/3025mW VDD_SOC 1916mW/1911mW
01-01-1970 01:55:49 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [23%@729,18%@729,16%@729,15%@729,9%@729,8%@729] EMC_FREQ 26%@2133 GR3D_FREQ 91%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55C SOC2@53.937C SOC0@53.531C CV1@-256C GPU@55.187C tj@55.031C SOC1@53.812C CV2@-256C VDD_IN 8027mW/8180mW VDD_CPU_GPU_CV 2910mW/3020mW VDD_SOC 1916mW/1912mW
01-01-1970 01:55:50 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [24%@1101,18%@883,14%@883,13%@883,6%@729,7%@729] EMC_FREQ 26%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.281C SOC2@53.937C SOC0@53.531C CV1@-256C GPU@55.093C tj@55.281C SOC1@53.718C CV2@-256C VDD_IN 8186mW/8180mW VDD_CPU_GPU_CV 3030mW/3020mW VDD_SOC 1916mW/1912mW
01-01-1970 01:55:51 RAM 5595/7451MB (lfb 30x1MB) SWAP 15/3725MB (cached 0MB) CPU [23%@1510,18%@729,13%@729,16%@729,13%@729,14%@729] EMC_FREQ 26%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.031C SOC2@53.968C SOC0@53.5C CV1@-256C GPU@55.406C tj@55.406C SOC1@53.687C CV2@-256C VDD_IN 8226mW/8182mW VDD_CPU_GPU_CV 3070mW/3022mW VDD_SOC 1916mW/1912mW
