01-01-1970 01:30:10 RAM 2665/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [4%@1510,0%@1510,100%@1510,1%@1510,81%@1510,6%@1510] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.5C SOC2@51.781C SOC0@51.656C CV1@-256C GPU@52.187C tj@53.5C SOC1@52.406C CV2@-256C VDD_IN 4815mW/6197mW VDD_CPU_GPU_CV 1243mW/2532mW VDD_SOC 1165mW/1231mW
01-01-1970 01:30:11 RAM 2674/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [12%@1510,4%@1510,84%@1510,19%@1510,12%@729,7%@729] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@51.687C SOC0@51.437C CV1@-256C GPU@52.25C tj@53.343C SOC1@52.218C CV2@-256C VDD_IN 4501mW/6067mW VDD_CPU_GPU_CV 1123mW/2424mW VDD_SOC 1165mW/1226mW
01-01-1970 01:30:12 RAM 2600/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [30%@1510,6%@1510,49%@1510,12%@1510,18%@729,17%@729] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.25C SOC2@51.687C SOC0@51.468C CV1@-256C GPU@52.187C tj@53.25C SOC1@52.156C CV2@-256C VDD_IN 4622mW/5964mW VDD_CPU_GPU_CV 1203mW/2337mW VDD_SOC 1165mW/1222mW
01-01-1970 01:30:13 RAM 2676/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [65%@1510,26%@1510,1%@1510,10%@1510,6%@729,2%@729] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@51.593C SOC0@51.343C CV1@-256C GPU@52.031C tj@53.343C SOC1@52.031C CV2@-256C VDD_IN 4421mW/5861mW VDD_CPU_GPU_CV 1003mW/2248mW VDD_SOC 1165mW/1218mW
01-01-1970 01:30:14 RAM 2788/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [51%@1510,25%@1510,20%@1510,5%@1510,3%@729,2%@729] EMC_FREQ 3%@2133 GR3D_FREQ 22%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.593C SOC0@51.531C CV1@-256C GPU@51.875C tj@53.406C SOC1@52.25C CV2@-256C VDD_IN 4935mW/5803mW VDD_CPU_GPU_CV 1163mW/2180mW VDD_SOC 1366mW/1227mW
01-01-1970 01:30:15 RAM 3341/7451MB (lfb 298x4MB) SWAP 2/3725MB (cached 0MB) CPU [10%@1510,4%@1510,94%@1510,1%@1510,0%@729,1%@729] EMC_FREQ 4%@2133 GR3D_FREQ 8%@[509,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.093C SOC2@51.656C SOC0@51.468C CV1@-256C GPU@51.937C tj@53.093C SOC1@52.156C CV2@-256C VDD_IN 5417mW/5780mW VDD_CPU_GPU_CV 1362mW/2132mW VDD_SOC 1484mW/1242mW
01-01-1970 01:30:16 RAM 3366/7451MB (lfb 298x4MB) SWAP 2/3725MB (cached 0MB) CPU [11%@1091,7%@729,27%@729,3%@729,38%@729,0%@729] EMC_FREQ 3%@2133 GR3D_FREQ 3%@[509,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.968C SOC2@51.468C SOC0@51.281C CV1@-256C GPU@52.062C tj@52.968C SOC1@52.031C CV2@-256C VDD_IN 5136mW/5744mW VDD_CPU_GPU_CV 1083mW/2073mW VDD_SOC 1444mW/1254mW
01-01-1970 01:30:17 RAM 3755/7451MB (lfb 254x4MB) SWAP 2/3725MB (cached 0MB) CPU [10%@958,6%@729,3%@729,5%@729,10%@729,56%@729] EMC_FREQ 12%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.937C SOC2@51.406C SOC0@51.281C CV1@-256C GPU@51.687C tj@52.937C SOC1@51.937C CV2@-256C VDD_IN 4975mW/5704mW VDD_CPU_GPU_CV 922mW/2013mW VDD_SOC 1404mW/1261mW
01-01-1970 01:30:18 RAM 4093/7451MB (lfb 187x4MB) SWAP 2/3725MB (cached 0MB) CPU [16%@1510,21%@1510,30%@1510,5%@1510,15%@729,18%@729] EMC_FREQ 13%@665 GR3D_FREQ 1%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.937C SOC2@51.312C SOC0@51.156C CV1@-256C GPU@51.718C tj@52.937C SOC1@51.937C CV2@-256C VDD_IN 4702mW/5654mW VDD_CPU_GPU_CV 1083mW/1966mW VDD_SOC 1245mW/1261mW
01-01-1970 01:30:19 RAM 4626/7451MB (lfb 158x4MB) SWAP 2/3725MB (cached 0MB) CPU [12%@1510,5%@1510,78%@1510,1%@1510,21%@729,2%@729] EMC_FREQ 14%@665 GR3D_FREQ 30%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.937C SOC2@51.375C SOC0@51.187C CV1@-256C GPU@51.562C tj@52.937C SOC1@51.812C CV2@-256C VDD_IN 4742mW/5610mW VDD_CPU_GPU_CV 1163mW/1928mW VDD_SOC 1245mW/1260mW
01-01-1970 01:30:20 RAM 4920/7451MB (lfb 114x4MB) SWAP 2/3725MB (cached 0MB) CPU [22%@1510,5%@1510,67%@1510,3%@1510,9%@729,0%@729] EMC_FREQ 13%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.906C SOC2@51.218C SOC0@51.187C CV1@-256C GPU@51.875C tj@52.906C SOC1@51.875C CV2@-256C VDD_IN 4501mW/5560mW VDD_CPU_GPU_CV 963mW/1884mW VDD_SOC 1205mW/1257mW
