01-01-1970 01:50:41 RAM 2591/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [14%@1509,2%@729,7%@729,1%@729,0%@729,0%@729] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.062C SOC2@52.75C SOC0@52.781C CV1@-256C GPU@53.093C tj@54.062C SOC1@53.218C CV2@-256C VDD_IN 3979mW/5992mW VDD_CPU_GPU_CV 682mW/2430mW VDD_SOC 1165mW/1215mW
01-01-1970 01:50:42 RAM 2620/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [13%@1510,21%@1510,9%@1510,7%@1510,17%@1113,7%@1113] EMC_FREQ 5%@665 GR3D_FREQ 2%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.218C SOC2@52.718C SOC0@52.687C CV1@-256C GPU@53.156C tj@54.218C SOC1@53.125C CV2@-256C VDD_IN 4179mW/5853mW VDD_CPU_GPU_CV 802mW/2305mW VDD_SOC 1165mW/1211mW
01-01-1970 01:50:43 RAM 2740/7451MB (lfb 293x4MB) SWAP 13/3725MB (cached 0MB) CPU [19%@1510,17%@1510,15%@1510,32%@1510,5%@729,7%@729] EMC_FREQ 3%@2133 GR3D_FREQ 28%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.406C SOC2@52.687C SOC0@52.5C CV1@-256C GPU@53.281C tj@54.406C SOC1@53.093C CV2@-256C VDD_IN 4815mW/5778mW VDD_CPU_GPU_CV 1083mW/2217mW VDD_SOC 1324mW/1219mW
01-01-1970 01:50:44 RAM 3261/7451MB (lfb 269x4MB) SWAP 13/3725MB (cached 0MB) CPU [19%@1510,4%@1510,87%@1510,5%@1510,2%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 8%@[509,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.312C SOC2@52.75C SOC0@52.5C CV1@-256C GPU@53.031C tj@54.312C SOC1@53C CV2@-256C VDD_IN 5337mW/5749mW VDD_CPU_GPU_CV 1362mW/2160mW VDD_SOC 1444mW/1234mW
01-01-1970 01:50:45 RAM 3438/7451MB (lfb 260x4MB) SWAP 13/3725MB (cached 0MB) CPU [34%@1510,3%@1510,58%@1510,0%@1510,18%@729,4%@729] EMC_FREQ 3%@2133 GR3D_FREQ 16%@[509,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.343C SOC2@52.625C SOC0@52.437C CV1@-256C GPU@53.093C tj@54.343C SOC1@53C CV2@-256C VDD_IN 5216mW/5716mW VDD_CPU_GPU_CV 1241mW/2103mW VDD_SOC 1404mW/1244mW
01-01-1970 01:50:46 RAM 3757/7451MB (lfb 232x4MB) SWAP 13/3725MB (cached 0MB) CPU [11%@729,0%@729,24%@729,32%@729,7%@729,10%@729] EMC_FREQ 11%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.031C SOC2@52.531C SOC0@52.343C CV1@-256C GPU@52.875C tj@54.031C SOC1@53.156C CV2@-256C VDD_IN 4935mW/5670mW VDD_CPU_GPU_CV 922mW/2033mW VDD_SOC 1364mW/1251mW
01-01-1970 01:50:47 RAM 3987/7451MB (lfb 210x4MB) SWAP 13/3725MB (cached 0MB) CPU [17%@1510,32%@1510,3%@1510,6%@1510,8%@729,6%@729] EMC_FREQ 13%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.031C SOC2@52.406C SOC0@52.218C CV1@-256C GPU@52.75C tj@54.343C SOC1@53.093C CV2@-256C VDD_IN 4702mW/5616mW VDD_CPU_GPU_CV 963mW/1974mW VDD_SOC 1245mW/1251mW
01-01-1970 01:50:48 RAM 4495/7451MB (lfb 149x4MB) SWAP 13/3725MB (cached 0MB) CPU [11%@1510,81%@1510,3%@1510,3%@1510,9%@729,5%@729] EMC_FREQ 14%@665 GR3D_FREQ 16%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.031C SOC2@52.437C SOC0@52.218C CV1@-256C GPU@52.656C tj@54.031C SOC1@52.812C CV2@-256C VDD_IN 4742mW/5570mW VDD_CPU_GPU_CV 1163mW/1931mW VDD_SOC 1245mW/1251mW
01-01-1970 01:50:49 RAM 4981/7451MB (lfb 94x4MB) SWAP 13/3725MB (cached 0MB) CPU [11%@1510,29%@1510,52%@1510,3%@1510,9%@729,1%@729] EMC_FREQ 15%@665 GR3D_FREQ 12%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.843C SOC2@52.5C SOC0@52.218C CV1@-256C GPU@52.687C tj@53.843C SOC1@53.062C CV2@-256C VDD_IN 4702mW/5526mW VDD_CPU_GPU_CV 1163mW/1893mW VDD_SOC 1245mW/1250mW
01-01-1970 01:50:50 RAM 5029/7451MB (lfb 80x4MB) SWAP 13/3725MB (cached 0MB) CPU [13%@1510,58%@1510,4%@1510,14%@1510,1%@729,21%@729] EMC_FREQ 11%@665 GR3D_FREQ 29%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.75C SOC2@52.375C SOC0@52.281C CV1@-256C GPU@52.718C tj@53.75C SOC1@52.75C CV2@-256C VDD_IN 4421mW/5474mW VDD_CPU_GPU_CV 882mW/1844mW VDD_SOC 1205mW/1248mW
01-01-1970 01:50:51 RAM 5334/7451MB (lfb 22x4MB) SWAP 13/3725MB (cached 0MB) CPU [30%@729,17%@729,9%@1171,18%@729,5%@1510,10%@1510] EMC_FREQ 12%@665 GR3D_FREQ 38%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.875C SOC2@52.281C SOC0@52.281C CV1@-256C GPU@52.562C tj@53.875C SOC1@52.812C CV2@-256C VDD_IN 4581mW/5433mW VDD_CPU_GPU_CV 1083mW/1810mW VDD_SOC 1205mW/1246mW
01-01-1970 01:50:52 RAM 5524/7451MB (lfb 29x1MB) SWAP 15/3725MB (cached 0MB) CPU [13%@1510,12%@1510,36%@1510,29%@1510,20%@729,2%@729] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.843C SOC2@52.343C SOC0@52.156C CV1@-256C GPU@53.062C tj@53.843C SOC1@52.875C CV2@-256C VDD_IN 5969mW/5456mW VDD_CPU_GPU_CV 1883mW/1813mW VDD_SOC 1442mW/1255mW
01-01-1970 01:50:53 RAM 5530/7451MB (lfb 1x2MB) SWAP 15/3725MB (cached 0MB) CPU [10%@1510,33%@1510,8%@1510,59%@1510,3%@729,6%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.843C SOC2@52.406C SOC0@52.125C CV1@-256C GPU@52.718C tj@53.843C SOC1@52.75C CV2@-256C VDD_IN 5176mW/5445mW VDD_CPU_GPU_CV 1322mW/1793mW VDD_SOC 1404mW/1261mW
01-01-1970 01:50:54 RAM 5589/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [19%@729,14%@729,8%@729,33%@729,16%@729,17%@729] EMC_FREQ 13%@2133 GR3D_FREQ 31%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.718C SOC2@52.531C SOC0@52.25C CV1@-256C GPU@53.625C tj@53.906C SOC1@52.781C CV2@-256C VDD_IN 7440mW/5525mW VDD_CPU_GPU_CV 2635mW/1826mW VDD_SOC 1800mW/1282mW
01-01-1970 01:50:55 RAM 5589/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [28%@729,14%@729,13%@729,9%@729,12%@806,21%@806] EMC_FREQ 20%@2133 GR3D_FREQ 91%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.906C SOC2@52.687C SOC0@52.281C CV1@-256C GPU@53.593C tj@53.906C SOC1@52.687C CV2@-256C VDD_IN 8027mW/5621mW VDD_CPU_GPU_CV 2910mW/1868mW VDD_SOC 1876mW/1305mW
01-01-1970 01:50:56 RAM 5589/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [22%@1030,16%@729,14%@729,11%@729,17%@729,9%@729] EMC_FREQ 23%@2133 GR3D_FREQ 85%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.906C SOC2@52.656C SOC0@52.281C CV1@-256C GPU@53.75C tj@53.906C SOC1@52.75C CV2@-256C VDD_IN 7960mW/5707mW VDD_CPU_GPU_CV 2870mW/1905mW VDD_SOC 1876mW/1326mW
01-01-1970 01:50:57 RAM 5589/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [29%@1510,10%@1084,16%@729,17%@729,7%@729,12%@729] EMC_FREQ 25%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54C SOC2@52.718C SOC0@52.343C CV1@-256C GPU@53.593C tj@54C SOC1@52.812C CV2@-256C VDD_IN 7960mW/5788mW VDD_CPU_GPU_CV 2830mW/1938mW VDD_SOC 1876mW/1346mW
01-01-1970 01:50:58 RAM 5589/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [20%@729,17%@729,10%@729,13%@729,19%@729,22%@729] EMC_FREQ 25%@2133 GR3D_FREQ 23%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.906C SOC2@52.75C SOC0@52.406C CV1@-256C GPU@53.781C tj@53.906C SOC1@52.75C CV2@-256C VDD_IN 8000mW/5864mW VDD_CPU_GPU_CV 2910mW/1971mW VDD_SOC 1876mW/1364mW
01-01-1970 01:50:59 RAM 5590/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [31%@848,15%@729,17%@729,15%@729,6%@1510,9%@1510] EMC_FREQ 25%@2133 GR3D_FREQ 85%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54C SOC2@52.687C SOC0@52.312C CV1@-256C GPU@53.718C tj@54C SOC1@52.812C CV2@-256C VDD_IN 7960mW/5934mW VDD_CPU_GPU_CV 2830mW/2000mW VDD_SOC 1876mW/1381mW
01-01-1970 01:51:00 RAM 5590/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [24%@1183,13%@729,18%@729,13%@729,15%@729,17%@729] EMC_FREQ 26%@2133 GR3D_FREQ 69%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.125C SOC2@52.718C SOC0@52.312C CV1@-256C GPU@54.031C tj@54.093C SOC1@52.718C CV2@-256C VDD_IN 8000mW/6001mW VDD_CPU_GPU_CV 2910mW/2029mW VDD_SOC 1916mW/1398mW
01-01-1970 01:51:01 RAM 5590/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [19%@729,12%@729,11%@729,7%@900,22%@729,18%@729] EMC_FREQ 26%@2133 GR3D_FREQ 43%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54C SOC2@52.687C SOC0@52.375C CV1@-256C GPU@53.875C tj@54C SOC1@52.75C CV2@-256C VDD_IN 8000mW/6063mW VDD_CPU_GPU_CV 2910mW/2057mW VDD_SOC 1876mW/1413mW
01-01-1970 01:51:02 RAM 5590/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [22%@729,5%@974,11%@729,11%@729,19%@729,19%@729] EMC_FREQ 26%@2133 GR3D_FREQ 87%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.218C SOC2@52.687C SOC0@52.343C CV1@-256C GPU@53.75C tj@54.218C SOC1@52.718C CV2@-256C VDD_IN 7960mW/6121mW VDD_CPU_GPU_CV 2870mW/2082mW VDD_SOC 1876mW/1427mW
01-01-1970 01:51:03 RAM 5591/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [27%@1064,7%@883,10%@883,14%@883,13%@729,21%@729] EMC_FREQ 26%@2133 GR3D_FREQ 63%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.031C SOC2@52.875C SOC0@52.343C CV1@-256C GPU@53.75C tj@54.031C SOC1@52.812C CV2@-256C VDD_IN 8027mW/6177mW VDD_CPU_GPU_CV 2950mW/2107mW VDD_SOC 1876mW/1441mW
01-01-1970 01:51:04 RAM 5592/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [21%@729,12%@729,11%@729,10%@729,19%@729,22%@729] EMC_FREQ 26%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.25C SOC2@52.875C SOC0@52.468C CV1@-256C GPU@53.937C tj@54.25C SOC1@52.75C CV2@-256C VDD_IN 8027mW/6229mW VDD_CPU_GPU_CV 2950mW/2131mW VDD_SOC 1876mW/1453mW
01-01-1970 01:51:05 RAM 5592/7451MB (lfb 9x2MB) SWAP 15/3725MB (cached 0MB) CPU [25%@1510,16%@729,19%@729,15%@729,8%@729,18%@729] EMC_FREQ 26%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.156C SOC2@52.718C SOC0@52.375C CV1@-256C GPU@54C tj@54.062C SOC1@52.812C CV2@-256C VDD_IN 8186mW/6284mW VDD_CPU_GPU_CV 3030mW/2156mW VDD_SOC 1916mW/1466mW
