01-01-1970 01:21:08 RAM 2531/7451MB (lfb 122x4MB) SWAP 394/3725MB (cached 0MB) CPU [38%@1510,95%@1510,37%@1510,36%@1510,36%@729,37%@729] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.593C SOC2@49.75C SOC0@49.468C CV1@-256C GPU@50.281C tj@51.593C SOC1@50.5C CV2@-256C VDD_IN 4574mW/5706mW VDD_CPU_GPU_CV 1241mW/2264mW VDD_SOC 1123mW/1131mW
01-01-1970 01:21:09 RAM 2541/7451MB (lfb 122x4MB) SWAP 394/3725MB (cached 0MB) CPU [0%@1510,7%@1510,26%@1510,54%@1510,1%@729,0%@729] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.5C SOC2@49.593C SOC0@49.343C CV1@-256C GPU@49.906C tj@51.5C SOC1@50.281C CV2@-256C VDD_IN 4253mW/5594mW VDD_CPU_GPU_CV 842mW/2155mW VDD_SOC 1163mW/1134mW
01-01-1970 01:21:10 RAM 2550/7451MB (lfb 122x4MB) SWAP 394/3725MB (cached 0MB) CPU [8%@1504,15%@729,2%@729,17%@729,2%@729,0%@729] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.531C SOC2@49.312C SOC0@49.437C CV1@-256C GPU@49.937C tj@51.531C SOC1@50.437C CV2@-256C VDD_IN 3898mW/5473mW VDD_CPU_GPU_CV 642mW/2047mW VDD_SOC 1125mW/1133mW
01-01-1970 01:21:11 RAM 2589/7451MB (lfb 121x4MB) SWAP 394/3725MB (cached 0MB) CPU [10%@1113,4%@1113,6%@1113,1%@1113,9%@729,1%@729] EMC_FREQ 4%@665 GR3D_FREQ 9%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.312C SOC2@49.312C SOC0@49.375C CV1@-256C GPU@49.75C tj@51.312C SOC1@50.375C CV2@-256C VDD_IN 4012mW/5376mW VDD_CPU_GPU_CV 722mW/1958mW VDD_SOC 1123mW/1132mW
01-01-1970 01:21:12 RAM 2620/7451MB (lfb 120x4MB) SWAP 394/3725MB (cached 0MB) CPU [21%@1510,9%@1510,8%@1510,9%@1510,15%@806,6%@729] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.562C SOC2@49.375C SOC0@49.312C CV1@-256C GPU@49.843C tj@51.562C SOC1@50.343C CV2@-256C VDD_IN 4220mW/5304mW VDD_CPU_GPU_CV 802mW/1886mW VDD_SOC 1165mW/1134mW
01-01-1970 01:21:13 RAM 2681/7451MB (lfb 117x4MB) SWAP 394/3725MB (cached 0MB) CPU [18%@1510,5%@1510,12%@1510,65%@1510,4%@729,6%@729] EMC_FREQ 10%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.281C SOC2@49.437C SOC0@49.343C CV1@-256C GPU@49.781C tj@51.281C SOC1@50.281C CV2@-256C VDD_IN 4541mW/5259mW VDD_CPU_GPU_CV 1003mW/1834mW VDD_SOC 1205mW/1138mW
01-01-1970 01:21:14 RAM 2975/7451MB (lfb 116x4MB) SWAP 394/3725MB (cached 0MB) CPU [13%@1510,45%@1510,28%@1510,25%@1510,11%@729,11%@729] EMC_FREQ 14%@665 GR3D_FREQ 4%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.562C SOC2@49.437C SOC0@49.281C CV1@-256C GPU@49.875C tj@51.562C SOC1@50.375C CV2@-256C VDD_IN 4775mW/5232mW VDD_CPU_GPU_CV 1163mW/1797mW VDD_SOC 1243mW/1144mW
01-01-1970 01:21:15 RAM 3165/7451MB (lfb 115x4MB) SWAP 394/3725MB (cached 1MB) CPU [15%@1510,46%@1510,47%@1510,8%@1510,7%@729,7%@729] EMC_FREQ 14%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.437C SOC2@49.406C SOC0@49.375C CV1@-256C GPU@49.718C tj@51.437C SOC1@50.25C CV2@-256C VDD_IN 4702mW/5204mW VDD_CPU_GPU_CV 1083mW/1759mW VDD_SOC 1203mW/1147mW
01-01-1970 01:21:16 RAM 3177/7451MB (lfb 114x4MB) SWAP 394/3725MB (cached 1MB) CPU [18%@1510,46%@1510,45%@1510,2%@1510,9%@729,6%@729] EMC_FREQ 12%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.5C SOC2@49.281C SOC0@49.218C CV1@-256C GPU@49.656C tj@51.5C SOC1@50.312C CV2@-256C VDD_IN 4581mW/5173mW VDD_CPU_GPU_CV 1043mW/1723mW VDD_SOC 1205mW/1150mW
01-01-1970 01:21:17 RAM 3433/7451MB (lfb 91x4MB) SWAP 394/3725MB (cached 1MB) CPU [18%@1510,5%@1510,46%@1510,44%@1510,5%@729,8%@729] EMC_FREQ 14%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.437C SOC2@49.375C SOC0@49.218C CV1@-256C GPU@49.781C tj@51.437C SOC1@50.281C CV2@-256C VDD_IN 4775mW/5154mW VDD_CPU_GPU_CV 1163mW/1697mW VDD_SOC 1243mW/1154mW
