01-01-1970 01:47:00 RAM 2707/7451MB (lfb 142x4MB) SWAP 383/3725MB (cached 1MB) CPU [56%@1510,99%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 11%@665 GR3D_FREQ 35%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.937C SOC2@49.281C SOC0@48.75C CV1@-256C GPU@49.656C tj@51.937C SOC1@49.843C CV2@-256C VDD_IN 6640mW/5677mW VDD_CPU_GPU_CV 3075mW/2188mW VDD_SOC 1200mW/1211mW
01-01-1970 01:47:01 RAM 2928/7451MB (lfb 140x4MB) SWAP 383/3725MB (cached 1MB) CPU [71%@729,81%@729,82%@729,82%@729,98%@1011,82%@729] EMC_FREQ 14%@665 GR3D_FREQ 25%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.312C SOC2@49.187C SOC0@48.687C CV1@-256C GPU@49.312C tj@51.312C SOC1@49.812C CV2@-256C VDD_IN 6049mW/5706mW VDD_CPU_GPU_CV 2440mW/2207mW VDD_SOC 1241mW/1213mW
01-01-1970 01:47:02 RAM 3191/7451MB (lfb 140x4MB) SWAP 383/3725MB (cached 1MB) CPU [16%@1510,62%@1510,37%@1510,1%@1510,10%@729,9%@729] EMC_FREQ 16%@665 GR3D_FREQ 9%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.156C SOC2@48.906C SOC0@48.687C CV1@-256C GPU@49.187C tj@51.156C SOC1@49.843C CV2@-256C VDD_IN 4935mW/5650mW VDD_CPU_GPU_CV 1362mW/2147mW VDD_SOC 1243mW/1215mW
01-01-1970 01:47:04 RAM 3566/7451MB (lfb 102x4MB) SWAP 383/3725MB (cached 1MB) CPU [17%@1510,2%@1510,90%@1510,2%@1510,12%@729,11%@729] EMC_FREQ 18%@665 GR3D_FREQ 56%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@50.875C SOC2@48.875C SOC0@48.656C CV1@-256C GPU@49.281C tj@50.875C SOC1@49.812C CV2@-256C VDD_IN 4935mW/5603mW VDD_CPU_GPU_CV 1241mW/2086mW VDD_SOC 1243mW/1217mW
01-01-1970 01:47:05 RAM 4197/7451MB (lfb 48x4MB) SWAP 383/3725MB (cached 1MB) CPU [21%@1510,9%@1510,71%@1510,21%@1510,7%@729,8%@729] EMC_FREQ 6%@2133 GR3D_FREQ 36%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@50.906C SOC2@48.968C SOC0@48.531C CV1@-256C GPU@49.312C tj@51.031C SOC1@49.687C CV2@-256C VDD_IN 5417mW/5591mW VDD_CPU_GPU_CV 1322mW/2039mW VDD_SOC 1524mW/1236mW
01-01-1970 01:47:06 RAM 4631/7451MB (lfb 43x4MB) SWAP 383/3725MB (cached 1MB) CPU [17%@1510,62%@1510,30%@1510,6%@1510,10%@729,10%@729] EMC_FREQ 6%@2133 GR3D_FREQ 39%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@50.781C SOC2@48.843C SOC0@48.75C CV1@-256C GPU@49.25C tj@50.781C SOC1@49.687C CV2@-256C VDD_IN 5296mW/5574mW VDD_CPU_GPU_CV 1241mW/1992mW VDD_SOC 1484mW/1251mW
01-01-1970 01:47:07 RAM 4749/7451MB (lfb 33x4MB) SWAP 383/3725MB (cached 1MB) CPU [15%@1510,45%@1510,32%@1510,0%@1510,6%@729,10%@729] EMC_FREQ 4%@2133 GR3D_FREQ 42%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@50.937C SOC2@48.781C SOC0@48.687C CV1@-256C GPU@49.218C tj@50.843C SOC1@49.75C CV2@-256C VDD_IN 5096mW/5547mW VDD_CPU_GPU_CV 1081mW/1941mW VDD_SOC 1484mW/1264mW
01-01-1970 01:47:08 RAM 5071/7451MB (lfb 1x1MB) SWAP 385/3725MB (cached 1MB) CPU [21%@1510,11%@1510,32%@1510,29%@1510,5%@729,5%@729] EMC_FREQ 5%@2133 GR3D_FREQ 47%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@50.968C SOC2@48.781C SOC0@48.656C CV1@-256C GPU@49.187C tj@50.968C SOC1@49.718C CV2@-256C VDD_IN 5337mW/5536mW VDD_CPU_GPU_CV 1322mW/1908mW VDD_SOC 1484mW/1275mW
01-01-1970 01:47:09 RAM 5111/7451MB (lfb 1x256kB) SWAP 385/3725MB (cached 1MB) CPU [19%@1267,5%@1344,72%@1344,9%@1329,5%@729,6%@729] EMC_FREQ 8%@2133 GR3D_FREQ 34%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@50.906C SOC2@49.125C SOC0@48.718C CV1@-256C GPU@49.75C tj@51.031C SOC1@49.812C CV2@-256C VDD_IN 6490mW/5584mW VDD_CPU_GPU_CV 2120mW/1919mW VDD_SOC 1642mW/1294mW
01-01-1970 01:47:10 RAM 5107/7451MB (lfb 1x256kB) SWAP 385/3725MB (cached 1MB) CPU [34%@806,19%@729,22%@749,14%@729,10%@970,14%@729] EMC_FREQ 18%@2133 GR3D_FREQ 35%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.031C SOC2@49.25C SOC0@48.875C CV1@-256C GPU@50.406C tj@51.031C SOC1@49.687C CV2@-256C VDD_IN 7907mW/5694mW VDD_CPU_GPU_CV 2870mW/1964mW VDD_SOC 1916mW/1323mW
