05-28-2024 13:23:52 RAM 4301/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [33%@1113,19%@1113,21%@1113,19%@1190,29%@729,13%@729] EMC_FREQ 23%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.281C SOC2@54.125C SOC0@53.875C CV1@-256C GPU@55.125C tj@55.281C SOC1@54.093C CV2@-256C VDD_IN 8067mW/6791mW VDD_CPU_GPU_CV 2830mW/2804mW VDD_SOC 1956mW/1396mW
05-28-2024 13:23:53 RAM 4301/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [30%@1274,22%@1036,28%@1036,20%@1036,24%@729,23%@729] EMC_FREQ 26%@2133 GR3D_FREQ 58%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.312C SOC2@54.125C SOC0@53.812C CV1@-256C GPU@55.062C tj@55.312C SOC1@54.125C CV2@-256C VDD_IN 8027mW/6886mW VDD_CPU_GPU_CV 2791mW/2803mW VDD_SOC 1916mW/1436mW
05-28-2024 13:23:54 RAM 4301/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [33%@1510,26%@1497,17%@1497,15%@1497,18%@729,22%@729] EMC_FREQ 27%@2133 GR3D_FREQ 30%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.25C SOC2@54.125C SOC0@53.812C CV1@-256C GPU@54.906C tj@55.25C SOC1@54C CV2@-256C VDD_IN 7907mW/6959mW VDD_CPU_GPU_CV 2751mW/2799mW VDD_SOC 1916mW/1470mW
05-28-2024 13:23:55 RAM 4301/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [35%@729,12%@729,12%@729,13%@729,26%@1113,18%@1113] EMC_FREQ 27%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.25C SOC2@54.187C SOC0@53.875C CV1@-256C GPU@55.156C tj@55.25C SOC1@54.093C CV2@-256C VDD_IN 8107mW/7035mW VDD_CPU_GPU_CV 2870mW/2804mW VDD_SOC 1956mW/1502mW
05-28-2024 13:23:56 RAM 4302/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [34%@806,25%@806,18%@806,18%@806,17%@883,25%@883] EMC_FREQ 27%@2133 GR3D_FREQ 85%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.218C SOC2@54.093C SOC0@53.937C CV1@-256C GPU@55.093C tj@55.218C SOC1@54.062C CV2@-256C VDD_IN 8027mW/7097mW VDD_CPU_GPU_CV 2791mW/2803mW VDD_SOC 1956mW/1531mW
05-28-2024 13:23:57 RAM 4302/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [31%@1113,25%@1113,12%@1113,17%@1113,23%@729,34%@729] EMC_FREQ 27%@2133 GR3D_FREQ 97%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.343C SOC2@54.125C SOC0@53.75C CV1@-256C GPU@55.125C tj@55.343C SOC1@54.031C CV2@-256C VDD_IN 7907mW/7145mW VDD_CPU_GPU_CV 2711mW/2797mW VDD_SOC 1916mW/1553mW
05-28-2024 13:23:58 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [32%@1036,31%@1036,19%@1036,19%@1036,16%@729,16%@729] EMC_FREQ 27%@2133 GR3D_FREQ 97%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.312C SOC2@54.125C SOC0@53.781C CV1@-256C GPU@55.437C tj@55.437C SOC1@54.031C CV2@-256C VDD_IN 8067mW/7196mW VDD_CPU_GPU_CV 2791mW/2797mW VDD_SOC 1956mW/1576mW
05-28-2024 13:23:59 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [29%@1190,28%@1267,23%@1267,17%@1267,12%@729,18%@729] EMC_FREQ 28%@2133 GR3D_FREQ 71%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.5C SOC2@54.25C SOC0@53.75C CV1@-256C GPU@55.093C tj@55.5C SOC1@54.062C CV2@-256C VDD_IN 7987mW/7238mW VDD_CPU_GPU_CV 2751mW/2795mW VDD_SOC 1916mW/1594mW
05-28-2024 13:24:00 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [32%@1505,17%@806,18%@806,22%@806,27%@960,16%@960] EMC_FREQ 27%@2133 GR3D_FREQ 33%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.281C SOC2@54.093C SOC0@53.875C CV1@-256C GPU@55.281C tj@55.281C SOC1@54.062C CV2@-256C VDD_IN 7867mW/7269mW VDD_CPU_GPU_CV 2711mW/2790mW VDD_SOC 1916mW/1610mW
05-28-2024 13:24:01 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [29%@1510,20%@1510,23%@1267,21%@1267,15%@729,25%@729] EMC_FREQ 27%@2133 GR3D_FREQ 29%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.562C SOC2@54.125C SOC0@53.812C CV1@-256C GPU@55.093C tj@55.562C SOC1@54.062C CV2@-256C VDD_IN 7987mW/7303mW VDD_CPU_GPU_CV 2791mW/2790mW VDD_SOC 1916mW/1624mW
